# schema_version=2.0-phase1
timestamp,row_type,trigger_entity,forecast_high,swim_day_raw,oat_weatherflow,illuminance_lux,precipitation_today,precipitation_yesterday,local_heater_state,local_heater_equip_status,local_heater_equip_state,local_heater_equip_enabled,local_heater_target,local_heater_solar_set_point,local_heater_why_on,local_filter_state,local_filter_state_enum,local_filter_why_on,local_filter_speed,local_filter_power,local_waterfall_state,local_waterfall_function,local_waterfall_why_on,local_chlorinator_state,local_chlorinator_percent,local_water_temp,local_water_temp_reliable,local_heater_estimated_power_w,local_pool_light_state,pool_service_lockout,vacation_mode,garage_ms_power_w,garage_ms_kwh_total,garage_ms_kwh_current
2026-05-02 03:50:00,time_pattern,,88.0,Yes,70,1,0.0,0.0,on,off,Off,True,89,89,4,on,On,Manual On,55,411,closed,Waterfall,No Message,on,20,88,true,0,off,off,off,0.0,0.0,0.0
2026-05-02 04:00:00,time_pattern,,88.0,Yes,70,1,0.0,0.0,on,off,Off,True,89,89,4,on,On,Manual On,55,411,closed,Waterfall,No Message,on,20,87,true,0,off,off,off,0.0,0.0,0.0
2026-05-02 04:10:00,time_pattern,,88.0,Yes,70,1,0.0,0.0,on,off,Off,True,89,89,4,on,On,Manual On,55,411,closed,Waterfall,No Message,on,20,88,true,0,off,off,off,0.0,0.0,0.0
2026-05-02 04:20:00,time_pattern,,88.0,Yes,70,1,0.0,0.0,on,off,Off,True,89,89,4,on,On,Manual On,55,411,closed,Waterfall,No Message,on,20,87,true,0,off,off,off,0.0,0.0,0.0
2026-05-02 04:30:00,time_pattern,,88.0,Yes,70,1,0.0,0.0,on,off,Off,True,89,89,4,on,On,Manual On,55,411,closed,Waterfall,No Message,on,20,87,true,0,off,off,off,0.0,0.0,0.0
2026-05-02 04:40:00,time_pattern,,88.0,Yes,70,1,0.0,0.0,on,off,Off,True,89,89,4,on,On,Manual On,55,411,closed,Waterfall,No Message,on,20,87,true,0,off,off,off,0.0,0.0,0.0
2026-05-02 04:50:00,time_pattern,,88.0,Yes,70,1,0.0,0.0,on,off,Off,True,89,89,4,on,On,Manual On,55,411,closed,Waterfall,No Message,on,20,87,true,0,off,off,off,0.0,0.0,0.0
2026-05-02 05:00:00,time_pattern,,88.0,Yes,70,1,0.0,0.0,on,off,Off,True,89,89,4,on,On,Manual On,55,411,closed,Waterfall,No Message,on,20,87,true,0,off,off,off,0.0,0.0,0.0
2026-05-02 05:10:00,time_pattern,,88.0,Yes,70,1,0.0,0.0,on,off,Off,True,89,89,4,on,On,Manual On,55,411,closed,Waterfall,No Message,on,20,87,true,0,off,off,off,0.0,0.0,0.0
2026-05-02 05:20:00,time_pattern,,88.0,Yes,70,1,0.0,0.0,on,off,Off,True,89,89,4,on,On,Manual On,55,411,closed,Waterfall,No Message,on,20,87,true,0,off,off,off,0.0,0.0,0.0
2026-05-02 05:30:00,time_pattern,,88.0,Yes,70,1,0.0,0.0,on,off,Off,True,89,89,4,on,On,Manual On,55,411,closed,Waterfall,No Message,on,20,87,true,0,off,off,off,0.0,0.0,0.0
2026-05-02 05:40:00,time_pattern,,88.0,Yes,70,1,0.0,0.0,on,off,Off,True,89,89,4,on,On,Manual On,55,411,closed,Waterfall,No Message,on,20,87,true,0,off,off,off,0.0,0.0,0.0
2026-05-02 05:50:00,time_pattern,,88.0,Yes,70,1,0.0,0.0,on,off,Off,True,89,89,4,on,On,Manual On,55,411,closed,Waterfall,No Message,on,20,87,true,0,off,off,off,0.0,0.0,0.0
2026-05-02 06:00:00,time_pattern,,88.0,Yes,70,1,0.0,0.0,on,off,Off,True,89,89,4,on,On,Manual On,55,411,closed,Waterfall,No Message,on,20,87,true,0,off,off,off,0.0,0.0,0.0
2026-05-02 06:10:00,time_pattern,,88.0,Yes,70,1,0.0,0.0,on,off,Off,True,89,89,4,on,On,Manual On,55,411,closed,Waterfall,No Message,on,20,87,true,0,off,off,off,0.0,0.0,0.0
2026-05-02 06:20:00,time_pattern,,88.0,Yes,70,2,0.0,0.0,on,off,Off,True,89,89,4,on,On,Manual On,55,411,closed,Waterfall,No Message,on,20,87,true,0,off,off,off,0.0,0.0,0.0
2026-05-02 06:30:00,time_pattern,,88.0,Yes,70,19,0.0,0.0,on,off,Off,True,89,89,4,on,On,Manual On,55,411,closed,Waterfall,No Message,on,20,87,true,0,off,off,off,0.0,0.0,0.0
2026-05-02 06:40:00,time_pattern,,88.0,Yes,70,140,0.0,0.0,on,off,Off,True,89,89,4,on,On,Manual On,55,411,closed,Waterfall,No Message,on,20,87,true,0,off,off,off,0.0,0.0,0.0
2026-05-02 06:50:00,time_pattern,,88.0,Yes,70,567,0.0,0.0,on,off,Off,True,89,89,4,on,On,Manual On,55,411,closed,Waterfall,No Message,on,20,87,true,0,off,off,off,0.0,0.0,0.0
2026-05-02 07:00:00,time_pattern,,88.0,Yes,70,1472,0.0,0.0,on,on,On,True,89,89,4,on,On,Manual On,55,411,closed,Waterfall,No Message,on,20,87,true,7800,off,off,off,0.0,0.0,0.0
2026-05-02 07:10:00,time_pattern,,88.0,Yes,70,2933,0.0,0.0,on,on,On,True,89,89,4,on,On,Manual On,65,652,closed,Waterfall,No Message,on,20,87,true,7800,off,off,off,0.0,0.0,0.0
2026-05-02 07:20:00,time_pattern,,88.0,Yes,70,4578,0.0,0.0,on,on,On,True,89,89,4,on,On,Manual On,65,652,closed,Waterfall,No Message,on,20,87,true,7800,off,off,off,0.0,0.0,0.0
2026-05-02 07:30:00,time_pattern,,88.0,Yes,72,5090,0.0,0.0,on,on,On,True,89,89,4,on,On,Manual On,65,642,closed,Waterfall,No Message,on,20,87,true,7800,off,off,off,0.0,0.0,0.0
2026-05-02 07:40:00,time_pattern,,88.0,Yes,72,7332,0.0,0.0,on,on,On,True,89,89,4,on,On,Manual On,65,652,closed,Waterfall,No Message,on,20,87,true,7800,off,off,off,0.0,0.0,0.0
