timestamp,water_temp,oat,heater_state,pump_state,pump_speed,waterfall_state,forecast_high,swimming_day
2026-04-11 07:20:00,89,61,on,on,77,off,81.0,Yes
2026-04-11 07:30:00,89,61,on,on,77,off,81.0,Yes
2026-04-11 07:40:00,89,61,on,on,77,off,81.0,Yes
2026-04-11 07:50:00,89,61,on,on,77,off,81.0,Yes
2026-04-11 08:00:00,89,61,on,on,77,off,81.0,Yes
2026-04-11 08:10:00,89,61,on,on,77,on,81.0,Yes
2026-04-11 08:20:00,89,63,on,on,77,on,81.0,Yes
2026-04-11 08:30:00,89,63,on,on,77,on,81.0,Yes
2026-04-11 08:40:00,88,63,on,on,77,on,81.0,Yes
2026-04-11 08:50:00,88,64,on,on,77,on,81.0,Yes
2026-04-11 09:00:00,89,64,on,on,77,on,81.0,Yes
2026-04-11 09:10:00,88,68,on,on,77,on,81.0,Yes
2026-04-11 09:20:00,88,70,on,on,77,on,81.0,Yes
2026-04-11 09:30:00,88,72,on,on,77,on,81.0,Yes
2026-04-11 09:40:00,88,73,on,on,77,on,81.0,Yes
2026-04-11 09:50:00,88,73,on,on,77,on,81.0,Yes
2026-04-11 10:00:00,89,75,on,on,77,on,81.0,Yes
2026-04-11 10:10:00,88,75,on,on,77,on,81.0,Yes
2026-04-11 10:20:00,88,75,on,on,77,on,81.0,Yes
2026-04-11 10:30:00,88,73,on,on,77,on,81.0,Yes
2026-04-11 10:40:00,88,73,on,on,77,on,81.0,Yes
2026-04-11 10:50:00,88,73,on,on,77,on,81.0,Yes
2026-04-11 11:00:00,88,73,on,on,77,on,81.0,Yes
2026-04-11 11:10:00,88,73,on,on,77,on,81.0,Yes
2026-04-11 11:20:00,89,75,on,on,77,on,81.0,Yes
2026-04-11 11:30:00,89,75,on,on,77,on,81.0,Yes
2026-04-11 11:40:00,88,75,on,on,77,on,81.0,Yes
2026-04-11 11:50:00,89,77,on,on,77,on,81.0,Yes
2026-04-11 12:00:00,88,77,on,on,77,on,81.0,Yes
2026-04-11 12:10:00,89,77,on,on,77,on,81.0,Yes
2026-04-11 12:20:00,88,77,on,on,77,on,81.0,Yes
2026-04-11 12:30:00,89,77,on,on,77,on,81.0,Yes
2026-04-11 12:40:00,89,79,on,on,77,on,81.0,Yes
2026-04-11 12:50:00,88,81,on,on,77,on,81.0,Yes
2026-04-11 13:00:00,88,81,on,on,77,on,81.0,Yes
2026-04-11 13:20:00,88,79,on,on,77,on,81.0,Yes
2026-04-11 13:30:00,88,79,on,on,77,on,81.0,Yes
2026-04-11 13:40:00,88,79,on,on,77,on,81.0,Yes
2026-04-11 13:50:00,88,79,on,on,77,on,81.0,Yes
2026-04-11 14:00:00,88,81,on,on,77,on,81.0,Yes
2026-04-11 14:10:00,88,81,on,on,77,on,81.0,Yes
2026-04-11 14:20:00,88,79,on,on,77,on,81.0,Yes
2026-04-11 14:30:00,88,79,on,on,77,on,81.0,Yes
2026-04-11 14:40:00,88,79,on,on,77,on,81.0,Yes
2026-04-11 14:50:00,88,81,on,on,77,on,81.0,Yes
2026-04-11 15:00:00,88,81,on,on,77,on,81.0,Yes
2026-04-11 15:10:00,88,81,on,on,77,on,81.0,Yes
2026-04-11 15:20:00,88,81,on,on,77,on,81.0,Yes
2026-04-11 15:30:00,88,81,on,on,77,on,81.0,Yes
2026-04-11 15:40:00,88,81,on,on,77,on,81.0,Yes
2026-04-11 15:50:00,88,81,on,on,77,on,81.0,Yes
2026-04-11 16:00:00,88,81,on,on,77,on,81.0,Yes
2026-04-11 16:10:00,88,81,on,on,77,on,82.0,Yes
2026-04-11 16:20:00,88,81,on,on,77,on,82.0,Yes
2026-04-11 16:30:00,87,81,on,on,77,on,82.0,Yes
2026-04-11 16:40:00,87,81,on,on,77,on,82.0,Yes
2026-04-11 16:50:00,87,81,on,on,77,on,82.0,Yes
2026-04-11 17:00:00,87,79,on,on,77,on,82.0,Yes
2026-04-11 17:10:00,87,81,on,on,77,on,82.0,Yes
2026-04-11 17:20:00,87,79,on,on,77,on,82.0,Yes
2026-04-11 17:30:00,87,79,on,on,77,on,82.0,Yes
2026-04-11 17:40:00,87,79,on,on,77,on,82.0,Yes
2026-04-11 17:50:00,87,79,on,on,77,on,82.0,Yes
2026-04-11 18:00:00,87,79,on,on,77,on,82.0,Yes
2026-04-11 18:10:00,87,79,on,on,77,on,82.0,Yes
2026-04-11 18:20:00,87,79,on,on,77,on,82.0,Yes
2026-04-11 18:30:00,87,79,on,on,77,on,82.0,Yes
2026-04-11 18:40:00,87,79,on,on,77,on,82.0,Yes
2026-04-11 18:50:00,87,77,on,on,77,on,82.0,Yes
2026-04-11 19:00:00,88,77,on,on,77,on,82.0,Yes
2026-04-11 19:10:00,88,77,on,on,77,on,82.0,Yes
2026-04-11 19:20:00,88,77,on,on,77,on,82.0,Yes
2026-04-11 19:30:00,88,75,on,on,77,on,82.0,Yes
2026-04-11 19:40:00,88,75,on,on,77,on,82.0,Yes
2026-04-11 19:50:00,88,73,on,on,77,on,82.0,Yes
2026-04-11 20:00:00,88,73,on,on,77,on,82.0,Yes
2026-04-11 20:10:00,88,73,on,on,77,off,82.0,Yes
2026-04-11 20:20:00,88,72,on,on,77,off,82.0,Yes
2026-04-11 20:30:00,88,72,on,on,77,off,82.0,Yes
2026-04-11 20:40:00,89,72,on,on,77,off,82.0,Yes
2026-04-11 20:50:00,89,72,on,on,77,off,82.0,Yes
2026-04-11 21:00:00,89,72,on,on,77,off,82.0,Yes
